Unnamed: 0,zip,naics,est,lat,lng
2334,1035,512131,1,42.35563,-72.5692
3604,1060,512131,2,42.32218,-72.63126
5513,1089,512131,1,42.12532,-72.65025
6476,1104,512131,1,42.13326,-72.56733
7626,1128,512131,1,42.09497,-72.48806
7709,1129,512131,1,42.1211,-72.4877
8864,1230,512131,1,42.18197,-73.34244
9146,1237,512131,1,42.5529,-73.25373
9657,1247,512131,1,42.69813,-73.09264
10282,1267,512131,1,42.66593,-73.24209
10496,1301,512131,1,42.62375,-72.60379
12056,1420,512131,1,42.58559,-71.81693
12252,1430,512131,1,42.66069,-71.9232
12740,1440,512131,1,42.58797,-71.98649
13322,1453,512131,1,42.51961,-71.76583
13578,1460,512131,1,42.53503,-71.4891
15341,1510,512131,1,42.4119,-71.68883
16094,1524,512132,1,42.24919,-71.91989
16281,1527,512131,1,42.19228,-71.77397
18145,1564,512132,1,42.44124,-71.77297
19110,1581,512131,1,42.26815,-71.61402
20845,1606,512131,1,42.31367,-71.79614
21161,1608,512131,2,42.2621,-71.80145
21611,1610,512131,1,42.24645,-71.80968
22111,1701,512131,3,42.32195,-71.43796
24913,1752,512131,2,42.3494,-71.54681
25828,1760,512131,1,42.28436,-71.34966
26186,1772,512131,1,42.30144,-71.5304
27163,1801,512131,1,42.48694,-71.15415
27554,1803,512131,1,42.5028,-71.20147
28184,1821,512131,1,42.54999,-71.25206
29187,1832,512131,1,42.79099,-71.13133
30192,1843,512131,2,42.68985,-71.16095
30437,1844,512131,1,42.73426,-71.18858
31457,1853,512131,1,,
32188,1864,512131,1,42.58156,-71.08759
32910,1879,512131,1,42.66626,-71.42911
34920,1906,512131,1,42.46922,-71.01299
35649,1915,512131,1,42.56841,-70.8647
36163,1923,512131,2,42.57398,-70.94923
37137,1940,512131,1,42.53523,-71.03695
38254,1952,512131,1,42.84655,-70.86163
39240,1970,512131,1,42.51298,-70.90266
39966,2019,512131,1,42.0777,-71.47407
40696,2026,512131,5,42.24665,-71.1777
41816,2043,512131,1,42.21678,-70.88494
44157,2067,512131,1,42.10778,-71.18183
46992,2116,512131,2,42.35105,-71.07638
49393,2130,512131,1,42.30823,-71.11515
50275,2135,512131,1,42.34989,-71.15417
50771,2138,512131,3,42.37997,-71.13446
51060,2139,512131,1,42.36224,-71.10253
52118,2144,512131,1,42.40088,-71.122
52304,2145,512131,1,42.39206,-71.0895
52885,2149,512131,1,42.40643,-71.05446
53398,2151,512131,1,42.41887,-71.004
54201,2169,512131,1,42.23971,-71.01802
55027,2180,512131,1,42.47396,-71.09705
55323,2184,512131,1,42.20386,-71.0022
56216,2190,512131,1,42.16625,-70.95253
56915,2215,512131,1,42.34741,-71.10276
57369,2301,512131,1,42.07791,-71.04223
58645,2333,512131,1,42.03521,-70.94235
58995,2339,512131,1,42.12241,-70.85665
61016,2364,512131,1,41.98616,-70.74823
61340,2368,512131,1,42.17506,-71.05011
62382,2420,512131,1,42.45821,-71.21762
62987,2446,512131,1,42.3435,-71.12179
63810,2453,512131,1,42.36918,-71.24101
65081,2465,512131,1,42.34969,-71.22646
65387,2467,512131,1,42.31725,-71.16096
65530,2468,512131,1,42.32777,-71.23142
66034,2474,512131,1,42.42053,-71.15666
