Unnamed: 0,zip,naics,est,lat,lng
5838,1035,512131,1,42.35563,-72.5692
8918,1060,512131,1,42.32218,-72.63126
13695,1089,512131,1,42.12532,-72.65025
18984,1129,512131,1,42.1211,-72.4877
21759,1230,512131,1,42.18197,-73.34244
22424,1237,512131,1,42.5529,-73.25373
25254,1267,512131,2,42.66593,-73.24209
25792,1301,512131,1,42.62375,-72.60379
29850,1420,512131,1,42.58559,-71.81693
31639,1440,512131,1,42.58797,-71.98649
33203,1453,512131,1,42.51961,-71.76583
40310,1524,512132,1,42.24919,-71.91989
40849,1527,512131,3,42.19228,-71.77397
46137,1566,512131,1,42.1047,-72.07745
48276,1581,512131,1,42.26815,-71.61402
48909,1583,512131,1,42.37034,-71.78502
52626,1606,512131,1,42.31367,-71.79614
54421,1610,512131,1,42.24645,-71.80968
55475,1701,512131,1,42.32195,-71.43796
62536,1752,512131,1,42.3494,-71.54681
63946,1757,512131,1,42.15723,-71.51978
68024,1801,512131,1,42.48694,-71.15415
68877,1803,512131,1,42.5028,-71.20147
75584,1843,512131,1,42.68985,-71.16095
76249,1844,512131,2,42.73426,-71.18858
78785,1853,512131,1,,
82393,1879,512131,1,42.66626,-71.42911
89192,1915,512131,1,42.56841,-70.8647
90505,1923,512131,1,42.57398,-70.94923
91594,1930,512131,1,42.62605,-70.68966
95643,1952,512131,2,42.84655,-70.86163
98041,1970,512131,1,42.51298,-70.90266
99879,2019,512131,1,42.0777,-71.47407
101695,2026,512131,1,42.24665,-71.1777
102999,2035,512131,1,42.06266,-71.24613
104479,2043,512131,2,42.21678,-70.88494
109050,2062,512131,2,42.18563,-71.19464
110158,2067,512131,1,42.10778,-71.18183
113779,2109,512131,1,42.36498,-71.05277
115040,2111,512131,1,42.35067,-71.06054
116364,2115,512131,1,42.34046,-71.09481
126618,2138,512131,1,42.37997,-71.13446
127289,2139,512131,1,42.36224,-71.10253
130087,2144,512131,1,42.40088,-71.122
130605,2145,512131,1,42.39206,-71.0895
133239,2151,512131,1,42.41887,-71.004
137965,2184,512131,1,42.20386,-71.0022
141861,2215,512131,1,42.34741,-71.10276
146866,2339,512131,1,42.12241,-70.85665
151812,2364,512131,1,41.98616,-70.74823
152633,2368,512131,1,42.17506,-71.05011
156634,2446,512131,1,42.3435,-71.12179
158633,2453,512131,1,42.36918,-71.24101
161908,2465,512131,3,42.34969,-71.22646
163699,2472,512131,1,42.37,-71.17713
164279,2474,512131,1,42.42053,-71.15666
168892,2535,512131,1,41.34896,-70.74629
169202,2536,512131,1,41.59706,-70.56677
170159,2539,512131,1,41.37994,-70.53227
171548,2554,512131,1,41.28555,-70.08043
173881,2568,512131,1,41.44341,-70.61534
175028,2576,512131,1,41.77807,-70.76338
175655,2601,512131,1,41.66,-70.29327
177661,2638,512131,1,41.73225,-70.19459
179792,2649,512131,1,41.61778,-70.49077
181528,2657,512131,2,42.06139,-70.19813
182072,2660,512131,1,41.70828,-70.15517
183094,2667,512131,1,41.92937,-70.02074
192037,2745,512131,1,41.70284,-70.94695
193067,2747,512131,1,41.6577,-71.01202
194026,2760,512131,1,41.97004,-71.33586
195661,2766,512131,1,41.96402,-71.18418
197441,2771,512131,1,41.83787,-71.31736
197980,2777,512131,1,41.75699,-71.21208
198913,2780,512131,1,41.90743,-71.11939
200682,2807,512131,1,41.17762,-71.57854
206563,2840,512131,2,41.47838,-71.31993
207342,2842,512131,1,41.51739,-71.27667
211879,2865,512131,1,41.91251,-71.44822
213890,2879,512131,1,41.42865,-71.53837
216047,2886,512131,2,41.70493,-71.45892
221015,2903,512131,3,41.81902,-71.41003
222930,2906,512131,1,41.83964,-71.38963
227473,2916,512131,1,41.84438,-71.35258
232376,3038,512131,1,42.88867,-71.27932
232907,3042,512131,1,43.05009,-71.07467
235702,3053,512131,2,42.87927,-71.38702
236422,3054,512131,1,42.85471,-71.51878
237028,3055,512132,1,42.81783,-71.67361
237760,3060,512131,1,42.74135,-71.45936
245866,3106,512131,2,43.07097,-71.43651
251844,3247,512132,1,,
252108,3249,512131,1,43.55806,-71.38505
252416,3251,512131,1,44.0796,-71.65276
252779,3253,512131,1,43.63193,-71.49749
257756,3301,512131,2,43.22423,-71.54342
259654,3431,512131,1,42.96785,-72.29862
262144,3458,512131,1,42.86906,-71.93797
263385,3470,512132,1,42.77869,-72.34413
263765,3561,512131,1,44.33222,-71.80973
265802,3584,512131,1,44.48696,-71.54278
268031,3743,512131,1,43.36026,-72.32489
269102,3755,512131,1,43.72377,-72.19563
269718,3766,512131,1,43.63491,-72.23819
272506,3801,512131,1,43.07293,-70.8052
276364,3825,512131,1,43.21366,-71.04227
281467,3857,512132,1,43.0691,-70.95164
281984,3860,512131,1,44.0427,-71.12422
289107,3907,512131,1,43.25474,-70.611
290138,4001,512131,1,43.52991,-70.92078
291028,4005,512131,1,43.49591,-70.49537
291715,4009,512131,1,44.04791,-70.73632
291716,4009,512132,1,44.04791,-70.73632
292332,4011,512131,2,43.90068,-69.97607
298500,4062,512131,1,43.79798,-70.40547
300122,4072,512131,1,43.53898,-70.46236
304254,4092,512131,1,43.69542,-70.35389
306174,4101,512131,2,43.6624,-70.2586
309314,4106,512131,1,43.63081,-70.28972
310985,4210,512131,1,44.08505,-70.24923
313320,4240,512131,1,44.09147,-70.16808
316185,4270,512131,1,44.11241,-70.51559
318742,4330,512131,1,44.36387,-69.73729
322632,4401,512131,2,44.84711,-68.84654
328968,4473,512131,1,44.88594,-68.71888
330980,4538,512131,1,43.85632,-69.62807
334464,4605,512131,1,44.66038,-68.41623
335126,4609,512131,1,44.38518,-68.27108
336130,4619,512131,1,45.13397,-67.22401
342137,4743,512131,1,47.15427,-68.72512
342756,4756,512132,1,47.33054,-68.30176
343828,4769,512131,1,46.68676,-67.98737
345059,4841,512131,2,44.12739,-69.13686
347351,4861,512131,1,44.09302,-69.17483
348486,4901,512131,2,44.55449,-69.57037
349386,4915,512131,1,44.46643,-69.04156
351530,4938,512131,1,44.65881,-70.10329
356204,4983,512131,1,44.92171,-70.30599
359838,5060,512131,1,43.96199,-72.68594
364109,5156,512131,1,43.30719,-72.46928
366289,5255,512131,1,43.16696,-73.06685
370040,5401,512131,2,44.47484,-73.21758
370997,5403,512131,1,44.447,-73.17229
373299,5446,512132,1,44.5541,-73.21647
374330,5452,512131,1,44.5238,-73.06479
377913,5478,512131,1,44.7941,-73.11714
380394,5495,512131,1,44.42901,-73.09197
381196,5602,512131,2,44.2848,-72.61498
381955,5641,512131,1,44.18602,-72.45108
383666,5661,512131,1,44.53743,-72.61724
384702,5672,512131,2,44.48151,-72.72174
385155,5673,512131,1,44.19371,-72.84356
386929,5701,512131,1,43.63365,-72.91368
389520,5753,512131,1,43.9991,-73.17403
392363,5819,512131,1,44.40397,-71.98837
397645,6002,512131,1,41.84286,-72.73714
403669,6037,512131,1,41.61148,-72.7775
404514,6040,512131,1,41.7616,-72.52247
405197,6042,512131,1,41.79743,-72.52704
408141,6062,512131,1,41.67338,-72.86079
410558,6070,512131,1,41.87674,-72.81626
413558,6082,512131,1,41.98393,-72.55475
417179,6098,512131,1,41.92379,-73.10003
417671,6103,512131,1,41.76477,-72.67012
418692,6106,512131,2,41.74818,-72.69683
419252,6107,512131,2,41.75375,-72.75966
419962,6108,512131,1,41.78078,-72.62165
428166,6250,512132,1,41.77434,-72.19669
433404,6340,512131,1,41.35643,-72.04477
433999,6351,512131,1,41.58873,-71.94854
434671,6355,512131,2,41.36857,-71.97426
435124,6357,512131,1,41.32711,-72.21478
438109,6379,512131,1,41.36685,-71.85826
439191,6385,512131,1,41.35735,-72.15581
440844,6405,512131,1,41.28405,-72.79809
443177,6415,512131,1,41.55563,-72.34694
447764,6443,512131,1,41.33976,-72.62783
448831,6450,512131,1,41.53332,-72.77399
450314,6457,512131,1,41.54759,-72.65484
451282,6460,512131,1,41.21505,-73.05129
454515,6473,512131,2,41.38069,-72.85598
457954,6483,512131,1,41.381,-73.08726
459900,6489,512131,2,41.61312,-72.87233
460761,6492,512131,1,41.45927,-72.80473
