zip,est,lat,lng,city,state_name
1035,1,42.35563,-72.5692,Hadley,Massachusetts
1060,2,42.32218,-72.63126,Northampton,Massachusetts
1089,1,42.12532,-72.65025,West Springfield,Massachusetts
1104,1,42.13326,-72.56733,Springfield,Massachusetts
1129,1,42.1211,-72.4877,Springfield,Massachusetts
1230,1,42.18197,-73.34244,Great Barrington,Massachusetts
1237,1,42.5529,-73.25373,Lanesborough,Massachusetts
1247,1,42.69813,-73.09264,North Adams,Massachusetts
1267,1,42.66593,-73.24209,Williamstown,Massachusetts
1301,1,42.62375,-72.60379,Greenfield,Massachusetts
1420,1,42.58559,-71.81693,Fitchburg,Massachusetts
1430,1,42.66069,-71.9232,Ashburnham,Massachusetts
1440,1,42.58797,-71.98649,Gardner,Massachusetts
1453,1,42.51961,-71.76583,Leominster,Massachusetts
1460,1,42.53503,-71.4891,Littleton,Massachusetts
1510,1,42.4119,-71.68883,Clinton,Massachusetts
1524,1,42.24919,-71.91989,Leicester,Massachusetts
1527,1,42.19228,-71.77397,Millbury,Massachusetts
1564,1,42.44124,-71.77297,Sterling,Massachusetts
1581,1,42.26815,-71.61402,Westborough,Massachusetts
1606,1,42.31367,-71.79614,Worcester,Massachusetts
1610,1,42.24645,-71.80968,Worcester,Massachusetts
1701,2,42.32195,-71.43796,Framingham,Massachusetts
1752,1,42.3494,-71.54681,Marlborough,Massachusetts
1801,1,42.48694,-71.15415,Woburn,Massachusetts
1803,1,42.5028,-71.20147,Burlington,Massachusetts
1821,1,42.54999,-71.25206,Billerica,Massachusetts
1832,1,42.79099,-71.13133,Haverhill,Massachusetts
1843,2,42.68985,-71.16095,Lawrence,Massachusetts
1844,1,42.73426,-71.18858,Methuen,Massachusetts
1853,1,,,[],[]
1864,1,42.58156,-71.08759,North Reading,Massachusetts
1879,1,42.66626,-71.42911,Tyngsboro,Massachusetts
1915,2,42.56841,-70.8647,Beverly,Massachusetts
1923,2,42.57398,-70.94923,Danvers,Massachusetts
1940,1,42.53523,-71.03695,Lynnfield,Massachusetts
1970,1,42.51298,-70.90266,Salem,Massachusetts
2019,1,42.0777,-71.47407,Bellingham,Massachusetts
2026,3,42.24665,-71.1777,Dedham,Massachusetts
2043,1,42.21678,-70.88494,Hingham,Massachusetts
2053,1,42.15352,-71.42906,Medway,Massachusetts
2111,1,42.35067,-71.06054,Boston,Massachusetts
2115,1,42.34046,-71.09481,Boston,Massachusetts
2135,1,42.34989,-71.15417,Brighton,Massachusetts
2138,3,42.37997,-71.13446,Cambridge,Massachusetts
2139,1,42.36224,-71.10253,Cambridge,Massachusetts
2143,1,42.38142,-71.09677,Somerville,Massachusetts
2144,1,42.40088,-71.122,Somerville,Massachusetts
2145,1,42.39206,-71.0895,Somerville,Massachusetts
2149,1,42.40643,-71.05446,Everett,Massachusetts
2151,1,42.41887,-71.004,Revere,Massachusetts
2169,1,42.23971,-71.01802,Quincy,Massachusetts
2184,1,42.20386,-71.0022,Braintree,Massachusetts
2190,1,42.16625,-70.95253,South Weymouth,Massachusetts
2215,1,42.34741,-71.10276,Boston,Massachusetts
2339,1,42.12241,-70.85665,Hanover,Massachusetts
2364,1,41.98616,-70.74823,Kingston,Massachusetts
2368,1,42.17506,-71.05011,Randolph,Massachusetts
2375,4,42.01954,-71.10381,South Easton,Massachusetts
2420,1,42.45821,-71.21762,Lexington,Massachusetts
2446,1,42.3435,-71.12179,Brookline,Massachusetts
2453,1,42.36918,-71.24101,Waltham,Massachusetts
2465,1,42.34969,-71.22646,West Newton,Massachusetts
2467,1,42.31725,-71.16096,Chestnut Hill,Massachusetts
2468,1,42.32777,-71.23142,Waban,Massachusetts
2474,2,42.42053,-71.15666,Arlington,Massachusetts
2535,1,41.34896,-70.74629,Chilmark,Massachusetts
2536,1,41.59706,-70.56677,East Falmouth,Massachusetts
2539,2,41.37994,-70.53227,Edgartown,Massachusetts
2556,1,41.63903,-70.62521,North Falmouth,Massachusetts
2571,1,41.76184,-70.70138,Wareham,Massachusetts
2601,1,41.66,-70.29327,Hyannis,Massachusetts
2638,1,41.73225,-70.19459,Dennis,Massachusetts
2645,1,41.70352,-70.06215,Harwich,Massachusetts
2649,1,41.61778,-70.49077,Mashpee,Massachusetts
2657,1,42.06139,-70.19813,Provincetown,Massachusetts
2660,1,41.70828,-70.15517,South Dennis,Massachusetts
2663,1,41.90576,-69.989,South Wellfleet,Massachusetts
2721,1,41.67451,-71.14869,Fall River,Massachusetts
2745,1,41.70284,-70.94695,New Bedford,Massachusetts
2747,1,41.6577,-71.01202,North Dartmouth,Massachusetts
2760,1,41.97004,-71.33586,North Attleboro,Massachusetts
2771,1,41.83787,-71.31736,Seekonk,Massachusetts
2777,1,41.75699,-71.21208,Swansea,Massachusetts
2780,1,41.90743,-71.11939,Taunton,Massachusetts
2807,1,41.17762,-71.57854,Block Island,Rhode Island
2828,1,41.87672,-71.56065,Greenville,Rhode Island
2840,1,41.47838,-71.31993,Newport,Rhode Island
2864,1,41.97025,-71.41978,Cumberland,Rhode Island
2882,1,41.4253,-71.46816,Narragansett,Rhode Island
2883,1,,,[],[]
2886,2,41.70493,-71.45892,Warwick,Rhode Island
2891,1,41.36043,-71.79429,Westerly,Rhode Island
2896,1,41.97285,-71.55027,North Smithfield,Rhode Island
2903,4,41.81902,-71.41003,Providence,Rhode Island
2906,1,41.83964,-71.38963,Providence,Rhode Island
2914,1,41.81326,-71.36608,East Providence,Rhode Island
3038,1,42.88867,-71.27932,Derry,New Hampshire
3053,1,42.87927,-71.38702,Londonderry,New Hampshire
3055,1,42.81783,-71.67361,Milford,New Hampshire
3086,1,42.82741,-71.76967,Wilton,New Hampshire
3103,1,42.95536,-71.44463,Manchester,New Hampshire
3104,1,43.00926,-71.4411,Manchester,New Hampshire
3106,1,43.07097,-71.43651,Hooksett,New Hampshire
3110,1,42.94065,-71.53023,Bedford,New Hampshire
3246,2,43.57239,-71.4775,Laconia,New Hampshire
3301,3,43.22423,-71.54342,Concord,New Hampshire
3431,1,42.96785,-72.29862,Keene,New Hampshire
3458,1,42.86906,-71.93797,Peterborough,New Hampshire
3470,1,42.77869,-72.34413,Winchester,New Hampshire
3561,1,44.33222,-71.80973,Littleton,New Hampshire
3755,1,43.72377,-72.19563,Hanover,New Hampshire
3766,1,43.63491,-72.23819,Lebanon,New Hampshire
3801,3,43.07293,-70.8052,Portsmouth,New Hampshire
3818,1,43.97302,-71.25261,Conway,New Hampshire
3820,1,43.18933,-70.88428,Dover,New Hampshire
3833,1,42.97464,-70.98885,Exeter,New Hampshire
3842,1,42.93941,-70.83697,Hampton,New Hampshire
3907,1,43.25474,-70.611,Ogunquit,Maine
4005,2,43.49591,-70.49537,Biddeford,Maine
