Unnamed: 0,zip,naics,est,lat,lng
118,1001,512131,1,42.06262,-72.62521
2279,1035,512131,1,42.35563,-72.5692
3502,1060,512131,1,42.32218,-72.63126
5366,1089,512131,1,42.12532,-72.65025
6288,1104,512131,1,42.13326,-72.56733
7483,1129,512131,1,42.1211,-72.4877
8582,1230,512131,1,42.18197,-73.34244
8851,1237,512131,1,42.5529,-73.25373
9987,1267,512131,1,42.66593,-73.24209
10199,1301,512131,1,42.62375,-72.60379
11723,1420,512131,1,42.58559,-71.81693
12420,1440,512131,1,42.58797,-71.98649
12997,1453,512131,1,42.51961,-71.76583
13250,1460,512131,1,42.53503,-71.4891
13407,1462,512132,1,42.58994,-71.72036
14995,1510,512131,1,42.4119,-71.68883
15719,1524,512132,1,42.24919,-71.91989
15912,1527,512131,3,42.19228,-71.77397
18781,1581,512131,1,42.26815,-71.61402
19039,1583,512131,1,42.37034,-71.78502
20473,1606,512131,1,42.31367,-71.79614
21187,1610,512131,1,42.24645,-71.80968
21631,1701,512131,2,42.32195,-71.43796
24432,1752,512131,1,42.3494,-71.54681
24824,1756,512132,1,42.09301,-71.55146
26622,1801,512131,1,42.48694,-71.15415
26985,1803,512131,1,42.5028,-71.20147
27619,1821,512131,1,42.54999,-71.25206
29610,1843,512131,2,42.68985,-71.16095
29876,1844,512131,2,42.73426,-71.18858
30870,1853,512131,1,,
31574,1864,512131,1,42.58156,-71.08759
31799,1867,512131,1,42.53505,-71.1055
32268,1879,512131,1,42.66626,-71.42911
34937,1915,512131,2,42.56841,-70.8647
35495,1923,512131,2,42.57398,-70.94923
37520,1952,512131,1,42.84655,-70.86163
39187,2019,512131,1,42.0777,-71.47407
39919,2026,512131,4,42.24665,-71.1777
41042,2043,512131,1,42.21678,-70.88494
43182,2066,512131,1,42.20129,-70.76155
43345,2067,512131,1,42.10778,-71.18183
45246,2111,512131,1,42.35067,-71.06054
45989,2116,512131,1,42.35105,-71.07638
49163,2135,512131,1,42.34989,-71.15417
49641,2138,512131,3,42.37997,-71.13446
49915,2139,512131,1,42.36224,-71.10253
50965,2144,512131,1,42.40088,-71.122
52221,2151,512131,1,42.41887,-71.004
54111,2184,512131,1,42.20386,-71.0022
54960,2190,512131,1,42.16625,-70.95253
55658,2215,512131,2,42.34741,-71.10276
57317,2333,512131,1,42.03521,-70.94235
57661,2339,512131,1,42.12241,-70.85665
59664,2364,512131,1,41.98616,-70.74823
59964,2368,512131,1,42.17506,-71.05011
60971,2420,512131,1,42.45821,-71.21762
61556,2446,512131,2,42.3435,-71.12179
62357,2453,512131,1,42.36918,-71.24101
63628,2465,512131,3,42.34969,-71.22646
63956,2467,512131,1,42.31725,-71.16096
64549,2474,512131,1,42.42053,-71.15666
66362,2535,512131,1,41.34896,-70.74629
66831,2539,512131,2,41.37994,-70.53227
67379,2554,512131,1,41.28555,-70.08043
67541,2556,512131,1,41.63903,-70.62521
67654,2557,512131,2,41.44218,-70.56648
68520,2571,512131,1,41.76184,-70.70138
68995,2601,512131,1,41.66,-70.29327
69784,2638,512131,1,41.73225,-70.19459
70198,2645,512131,1,41.70352,-70.06215
70575,2649,512131,1,41.61778,-70.49077
71225,2657,512131,2,42.06139,-70.19813
71417,2660,512131,2,41.70828,-70.15517
71558,2663,512131,1,41.90576,-69.989
75326,2745,512131,2,41.70284,-70.94695
75737,2747,512131,1,41.6577,-71.01202
76115,2760,512131,1,41.97004,-71.33586
77430,2771,512131,2,41.83787,-71.31736
77649,2777,512131,1,41.75699,-71.21208
78013,2780,512131,1,41.90743,-71.11939
78723,2807,512131,1,41.17762,-71.57854
81011,2840,512131,2,41.47838,-71.31993
83127,2865,512131,1,41.91251,-71.44822
83931,2879,512131,1,41.42865,-71.53837
84803,2886,512131,2,41.70493,-71.45892
86887,2903,512131,2,41.81902,-71.41003
87690,2906,512131,2,41.83964,-71.38963
89085,2914,512131,1,41.81326,-71.36608
89722,2917,512131,1,41.90615,-71.52365
91464,3038,512131,1,42.88867,-71.27932
92714,3053,512131,1,42.87927,-71.38702
93230,3055,512132,1,42.81783,-71.67361
96228,3103,512131,1,42.95536,-71.44463
96451,3104,512131,1,43.00926,-71.4411
96763,3106,512131,1,43.07097,-71.43651
99009,3246,512131,1,43.57239,-71.4775
99010,3246,512132,1,43.57239,-71.4775
99391,3251,512131,1,44.0796,-71.65276
99513,3253,512131,1,43.63193,-71.49749
100341,3264,512131,1,43.72967,-71.71159
101467,3301,512131,4,43.22423,-71.54342
102249,3431,512131,1,42.96785,-72.29862
102250,3431,512132,1,42.96785,-72.29862
103809,3561,512131,1,44.33222,-71.80973
105878,3755,512131,1,43.72377,-72.19563
106107,3766,512131,1,43.63491,-72.23819
107208,3801,512131,1,43.07293,-70.8052
108031,3818,512132,1,43.97302,-71.25261
108292,3820,512131,2,43.18933,-70.88428
