Unnamed: 0,zip,naics,est,lat,lng
2322,1035,512131,1,42.35563,-72.5692
3581,1060,512131,2,42.32218,-72.63126
5491,1089,512131,1,42.12532,-72.65025
6443,1104,512131,1,42.13326,-72.56733
7672,1129,512131,1,42.1211,-72.4877
8837,1230,512131,1,42.18197,-73.34244
9124,1237,512131,2,42.5529,-73.25373
9652,1247,512131,1,42.69813,-73.09264
10278,1267,512131,1,42.66593,-73.24209
10496,1301,512131,1,42.62375,-72.60379
12058,1420,512131,1,42.58559,-71.81693
12246,1430,512131,1,42.66069,-71.9232
12747,1440,512131,1,42.58797,-71.98649
13337,1453,512131,1,42.51961,-71.76583
13598,1460,512131,1,42.53503,-71.4891
15347,1510,512131,1,42.4119,-71.68883
16114,1524,512132,1,42.24919,-71.91989
16313,1527,512131,1,42.19228,-71.77397
18189,1564,512132,1,42.44124,-71.77297
19185,1581,512131,2,42.26815,-71.61402
20910,1606,512131,1,42.31367,-71.79614
21228,1608,512131,2,42.2621,-71.80145
21678,1610,512131,1,42.24645,-71.80968
22168,1701,512131,3,42.32195,-71.43796
24977,1752,512131,2,42.3494,-71.54681
25889,1760,512131,1,42.28436,-71.34966
27213,1801,512131,1,42.48694,-71.15415
27600,1803,512131,1,42.5028,-71.20147
28231,1821,512131,1,42.54999,-71.25206
29212,1832,512131,1,42.79099,-71.13133
30210,1843,512131,2,42.68985,-71.16095
30458,1844,512131,1,42.73426,-71.18858
31490,1853,512131,1,,
32212,1864,512131,1,42.58156,-71.08759
32941,1879,512131,1,42.66626,-71.42911
34920,1906,512131,1,42.46922,-71.01299
35646,1915,512131,1,42.56841,-70.8647
36179,1923,512131,2,42.57398,-70.94923
37132,1940,512131,1,42.53523,-71.03695
38246,1952,512131,1,42.84655,-70.86163
39227,1970,512131,1,42.51298,-70.90266
39960,2019,512131,2,42.0777,-71.47407
40691,2026,512131,5,42.24665,-71.1777
41828,2043,512131,1,42.21678,-70.88494
44172,2067,512131,1,42.10778,-71.18183
46980,2116,512131,2,42.35105,-71.07638
50229,2135,512131,1,42.34989,-71.15417
50730,2138,512131,3,42.37997,-71.13446
51026,2139,512131,1,42.36224,-71.10253
51854,2143,512131,1,42.38142,-71.09677
52065,2144,512131,1,42.40088,-71.122
52256,2145,512131,1,42.39206,-71.0895
52831,2149,512131,1,42.40643,-71.05446
53350,2151,512131,1,42.41887,-71.004
54162,2169,512131,1,42.23971,-71.01802
55286,2184,512131,1,42.20386,-71.0022
56171,2190,512131,1,42.16625,-70.95253
56871,2215,512131,1,42.34741,-71.10276
57313,2301,512131,1,42.07791,-71.04223
58595,2333,512131,1,42.03521,-70.94235
58935,2339,512131,1,42.12241,-70.85665
60983,2364,512131,2,41.98616,-70.74823
61303,2368,512131,1,42.17506,-71.05011
61803,2375,512131,2,42.01954,-71.10381
62340,2420,512131,1,42.45821,-71.21762
62943,2446,512131,1,42.3435,-71.12179
63763,2453,512131,1,42.36918,-71.24101
65059,2465,512131,1,42.34969,-71.22646
