Unnamed: 0,zip,naics,est,lat,lng
2207,1035,512131,1,42.35563,-72.5692
3375,1060,512131,1,42.32218,-72.63126
5173,1089,512131,1,42.12532,-72.65025
6058,1104,512131,1,42.13326,-72.56733
7226,1129,512131,1,42.1211,-72.4877
8268,1230,512131,1,42.18197,-73.34244
8528,1237,512131,1,42.5529,-73.25373
9610,1267,512131,2,42.66593,-73.24209
9809,1301,512131,1,42.62375,-72.60379
10690,1366,512131,1,42.48858,-72.18564
11281,1420,512131,1,42.58559,-71.81693
11947,1440,512131,1,42.58797,-71.98649
12516,1453,512131,1,42.51961,-71.76583
14463,1510,512131,1,42.4119,-71.68883
15172,1524,512132,1,42.24919,-71.91989
15363,1527,512131,3,42.19228,-71.77397
18094,1581,512131,1,42.26815,-71.61402
18351,1583,512131,1,42.37034,-71.78502
19752,1606,512131,1,42.31367,-71.79614
20446,1610,512131,1,42.24645,-71.80968
20869,1701,512131,3,42.32195,-71.43796
21824,1721,512132,1,42.25726,-71.46867
23587,1752,512131,1,42.3494,-71.54681
23953,1756,512132,1,42.09301,-71.55146
25712,1801,512131,1,42.48694,-71.15415
26087,1803,512131,1,42.5028,-71.20147
28648,1843,512131,1,42.68985,-71.16095
28900,1844,512131,2,42.73426,-71.18858
29854,1853,512131,1,,
31200,1879,512131,1,42.66626,-71.42911
33809,1915,512131,2,42.56841,-70.8647
34348,1923,512131,2,42.57398,-70.94923
34777,1930,512131,1,42.62605,-70.68966
36313,1952,512131,2,42.84655,-70.86163
37913,2019,512131,1,42.0777,-71.47407
38622,2026,512131,3,42.24665,-71.1777
39122,2035,512131,1,42.06266,-71.24613
39725,2043,512131,2,42.21678,-70.88494
40754,2053,512131,1,42.15352,-71.42906
41802,2066,512131,1,42.20129,-70.76155
41968,2067,512131,1,42.10778,-71.18183
43844,2111,512131,1,42.35067,-71.06054
44581,2116,512131,1,42.35105,-71.07638
47073,2131,512131,1,42.28392,-71.12468
47671,2135,512131,1,42.34989,-71.15417
48153,2138,512131,3,42.37997,-71.13446
48416,2139,512131,1,42.36224,-71.10253
49468,2144,512131,1,42.40088,-71.122
50675,2151,512131,1,42.41887,-71.004
52523,2184,512131,1,42.20386,-71.0022
53358,2190,512131,1,42.16625,-70.95253
54038,2215,512131,1,42.34741,-71.10276
55642,2333,512131,1,42.03521,-70.94235
55980,2339,512131,1,42.12241,-70.85665
57897,2364,512131,1,41.98616,-70.74823
58186,2368,512131,1,42.17506,-71.05011
59726,2446,512131,1,42.3435,-71.12179
60516,2453,512131,1,42.36918,-71.24101
61791,2465,512131,3,42.34969,-71.22646
62117,2467,512131,1,42.31725,-71.16096
62711,2474,512131,1,42.42053,-71.15666
64451,2535,512131,1,41.34896,-70.74629
64893,2539,512131,2,41.37994,-70.53227
65408,2554,512131,1,41.28555,-70.08043
65563,2556,512131,1,41.63903,-70.62521
65672,2557,512131,2,41.44218,-70.56648
66484,2571,512131,1,41.76184,-70.70138
66945,2601,512131,2,41.66,-70.29327
67691,2638,512131,1,41.73225,-70.19459
68089,2645,512131,1,41.70352,-70.06215
68462,2649,512131,1,41.61778,-70.49077
69109,2657,512131,1,42.06139,-70.19813
69302,2660,512131,1,41.70828,-70.15517
69436,2663,512131,1,41.90576,-69.989
73076,2745,512131,2,41.70284,-70.94695
73474,2747,512131,1,41.6577,-71.01202
73843,2760,512131,1,41.97004,-71.33586
74389,2766,512131,1,41.96402,-71.18418
75082,2771,512131,3,41.83787,-71.31736
75283,2777,512131,1,41.75699,-71.21208
75631,2780,512131,1,41.90743,-71.11939
76316,2807,512131,1,41.17762,-71.57854
78517,2840,512131,1,41.47838,-71.31993
78823,2842,512131,1,41.51739,-71.27667
80574,2865,512131,1,41.91251,-71.44822
81330,2879,512131,1,41.42865,-71.53837
82171,2886,512131,2,41.70493,-71.45892
84152,2903,512131,3,41.81902,-71.41003
84947,2906,512131,1,41.83964,-71.38963
85915,2910,512131,1,41.77552,-71.43564
