zip,est,lat,lng,city,state_name
1001,1,42.06262,-72.62521,Agawam,Massachusetts
1035,1,42.35563,-72.5692,Hadley,Massachusetts
1060,1,42.32218,-72.63126,Northampton,Massachusetts
1089,1,42.12532,-72.65025,West Springfield,Massachusetts
1104,1,42.13326,-72.56733,Springfield,Massachusetts
1129,1,42.1211,-72.4877,Springfield,Massachusetts
1230,1,42.18197,-73.34244,Great Barrington,Massachusetts
1237,1,42.5529,-73.25373,Lanesborough,Massachusetts
1267,1,42.66593,-73.24209,Williamstown,Massachusetts
1301,1,42.62375,-72.60379,Greenfield,Massachusetts
1366,1,42.48858,-72.18564,Petersham,Massachusetts
1420,1,42.58559,-71.81693,Fitchburg,Massachusetts
1440,1,42.58797,-71.98649,Gardner,Massachusetts
1453,1,42.51961,-71.76583,Leominster,Massachusetts
1462,1,42.58994,-71.72036,Lunenburg,Massachusetts
1510,2,42.4119,-71.68883,Clinton,Massachusetts
1524,1,42.24919,-71.91989,Leicester,Massachusetts
1527,3,42.19228,-71.77397,Millbury,Massachusetts
1581,1,42.26815,-71.61402,Westborough,Massachusetts
1583,1,42.37034,-71.78502,West Boylston,Massachusetts
1606,1,42.31367,-71.79614,Worcester,Massachusetts
1610,1,42.24645,-71.80968,Worcester,Massachusetts
1701,3,42.32195,-71.43796,Framingham,Massachusetts
1721,1,42.25726,-71.46867,Ashland,Massachusetts
1752,1,42.3494,-71.54681,Marlborough,Massachusetts
1756,1,42.09301,-71.55146,Mendon,Massachusetts
1801,1,42.48694,-71.15415,Woburn,Massachusetts
1803,1,42.5028,-71.20147,Burlington,Massachusetts
1843,1,42.68985,-71.16095,Lawrence,Massachusetts
1844,2,42.73426,-71.18858,Methuen,Massachusetts
1853,1,,,[],[]
1879,1,42.66626,-71.42911,Tyngsboro,Massachusetts
1915,2,42.56841,-70.8647,Beverly,Massachusetts
1923,2,42.57398,-70.94923,Danvers,Massachusetts
1930,1,42.62605,-70.68966,Gloucester,Massachusetts
1952,1,42.84655,-70.86163,Salisbury,Massachusetts
2019,1,42.0777,-71.47407,Bellingham,Massachusetts
2026,4,42.24665,-71.1777,Dedham,Massachusetts
2043,1,42.21678,-70.88494,Hingham,Massachusetts
2066,1,42.20129,-70.76155,Scituate,Massachusetts
2067,1,42.10778,-71.18183,Sharon,Massachusetts
2111,1,42.35067,-71.06054,Boston,Massachusetts
2116,1,42.35105,-71.07638,Boston,Massachusetts
2138,3,42.37997,-71.13446,Cambridge,Massachusetts
2139,1,42.36224,-71.10253,Cambridge,Massachusetts
2144,1,42.40088,-71.122,Somerville,Massachusetts
2151,1,42.41887,-71.004,Revere,Massachusetts
2176,1,42.45561,-71.05901,Melrose,Massachusetts
2184,1,42.20386,-71.0022,Braintree,Massachusetts
2190,1,42.16625,-70.95253,South Weymouth,Massachusetts
2215,2,42.34741,-71.10276,Boston,Massachusetts
2333,1,42.03521,-70.94235,East Bridgewater,Massachusetts
2339,1,42.12241,-70.85665,Hanover,Massachusetts
2364,1,41.98616,-70.74823,Kingston,Massachusetts
2368,1,42.17506,-71.05011,Randolph,Massachusetts
2446,1,42.3435,-71.12179,Brookline,Massachusetts
2453,1,42.36918,-71.24101,Waltham,Massachusetts
2461,1,42.31693,-71.20875,Newton Highlands,Massachusetts
2465,3,42.34969,-71.22646,West Newton,Massachusetts
2467,1,42.31725,-71.16096,Chestnut Hill,Massachusetts
2474,1,42.42053,-71.15666,Arlington,Massachusetts
2535,1,41.34896,-70.74629,Chilmark,Massachusetts
2539,2,41.37994,-70.53227,Edgartown,Massachusetts
2554,1,41.28555,-70.08043,Nantucket,Massachusetts
2556,1,41.63903,-70.62521,North Falmouth,Massachusetts
2557,2,41.44218,-70.56648,Oak Bluffs,Massachusetts
2571,1,41.76184,-70.70138,Wareham,Massachusetts
2601,2,41.66,-70.29327,Hyannis,Massachusetts
2638,1,41.73225,-70.19459,Dennis,Massachusetts
2645,1,41.70352,-70.06215,Harwich,Massachusetts
2649,1,41.61778,-70.49077,Mashpee,Massachusetts
2657,2,42.06139,-70.19813,Provincetown,Massachusetts
2660,1,41.70828,-70.15517,South Dennis,Massachusetts
2663,1,41.90576,-69.989,South Wellfleet,Massachusetts
2703,1,41.93108,-71.29499,Attleboro,Massachusetts
2745,2,41.70284,-70.94695,New Bedford,Massachusetts
2747,1,41.6577,-71.01202,North Dartmouth,Massachusetts
2760,1,41.97004,-71.33586,North Attleboro,Massachusetts
2771,2,41.83787,-71.31736,Seekonk,Massachusetts
2777,1,41.75699,-71.21208,Swansea,Massachusetts
2780,1,41.90743,-71.11939,Taunton,Massachusetts
2807,1,41.17762,-71.57854,Block Island,Rhode Island
2840,2,41.47838,-71.31993,Newport,Rhode Island
2865,1,41.91251,-71.44822,Lincoln,Rhode Island
2879,1,41.42865,-71.53837,Wakefield,Rhode Island
2886,2,41.70493,-71.45892,Warwick,Rhode Island
2903,3,41.81902,-71.41003,Providence,Rhode Island
2906,1,41.83964,-71.38963,Providence,Rhode Island
2910,1,41.77552,-71.43564,Cranston,Rhode Island
2914,1,41.81326,-71.36608,East Providence,Rhode Island
2917,1,41.90615,-71.52365,Smithfield,Rhode Island
3038,2,42.88867,-71.27932,Derry,New Hampshire
3053,1,42.87927,-71.38702,Londonderry,New Hampshire
3055,1,42.81783,-71.67361,Milford,New Hampshire
3104,1,43.00926,-71.4411,Manchester,New Hampshire
3106,1,43.07097,-71.43651,Hooksett,New Hampshire
3246,1,43.57239,-71.4775,Laconia,New Hampshire
3249,1,43.55806,-71.38505,Gilford,New Hampshire
3251,1,44.0796,-71.65276,Lincoln,New Hampshire
3253,1,43.63193,-71.49749,Meredith,New Hampshire
3301,4,43.22423,-71.54342,Concord,New Hampshire
3431,2,42.96785,-72.29862,Keene,New Hampshire
3561,1,44.33222,-71.80973,Littleton,New Hampshire
3755,1,43.72377,-72.19563,Hanover,New Hampshire
3766,1,43.63491,-72.23819,Lebanon,New Hampshire
3801,1,43.07293,-70.8052,Portsmouth,New Hampshire
3818,1,43.97302,-71.25261,Conway,New Hampshire
3820,1,43.18933,-70.88428,Dover,New Hampshire
3825,1,43.21366,-71.04227,Barrington,New Hampshire
3843,1,,,[],[]
3907,1,43.25474,-70.611,Ogunquit,Maine
4001,1,43.52991,-70.92078,Acton,Maine
4005,2,43.49591,-70.49537,Biddeford,Maine
4009,1,44.04791,-70.73632,Bridgton,Maine
4011,2,43.90068,-69.97607,Brunswick,Maine
4101,3,43.6624,-70.2586,Portland,Maine
4103,1,43.69392,-70.2909,Portland,Maine
4105,1,43.74753,-70.2825,Falmouth,Maine
4210,1,44.08505,-70.24923,Auburn,Maine
4217,1,44.36726,-70.83364,Bethel,Maine
4240,1,44.09147,-70.16808,Lewiston,Maine
4270,1,44.11241,-70.51559,Oxford,Maine
4330,1,44.36387,-69.73729,Augusta,Maine
4401,1,44.84711,-68.84654,Bangor,Maine
4473,1,44.88594,-68.71888,Orono,Maine
4538,1,43.85632,-69.62807,Boothbay Harbor,Maine
4605,1,44.66038,-68.41623,Ellsworth,Maine
4609,1,44.38518,-68.27108,Bar Harbor,Maine
4619,1,45.13397,-67.22401,Calais,Maine
4658,1,44.53873,-67.87257,Milbridge,Maine
4676,1,44.34741,-68.64238,Sedgwick,Maine
4736,1,46.90661,-68.01998,Caribou,Maine
4756,1,47.33054,-68.30176,Madawaska,Maine
4841,2,44.12739,-69.13686,Rockland,Maine
4861,1,44.09302,-69.17483,Thomaston,Maine
4901,3,44.55449,-69.57037,Waterville,Maine
4915,1,44.46643,-69.04156,Belfast,Maine
4938,1,44.65881,-70.10329,Farmington,Maine
4970,1,45.00032,-70.63519,Rangeley,Maine
4976,1,44.79873,-69.66951,Skowhegan,Maine
5032,1,43.80193,-72.65708,Bethel,Vermont
5060,1,43.96199,-72.68594,Randolph,Vermont
5091,1,43.64707,-72.55165,Woodstock,Vermont
5201,1,42.87652,-73.1426,Bennington,Vermont
5255,1,43.16696,-73.06685,Manchester Center,Vermont
5301,1,42.84346,-72.65901,Brattleboro,Vermont
5401,1,44.47484,-73.21758,Burlington,Vermont
5403,2,44.447,-73.17229,South Burlington,Vermont
5446,1,44.5541,-73.21647,Colchester,Vermont
5452,1,44.5238,-73.06479,Essex Junction,Vermont
5478,2,44.7941,-73.11714,Saint Albans,Vermont
5495,1,44.42901,-73.09197,Williston,Vermont
5602,3,44.2848,-72.61498,Montpelier,Vermont
5641,1,44.18602,-72.45108,Barre,Vermont
5661,1,44.53743,-72.61724,Morrisville,Vermont
